"participant","X","environment","ageGroup","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","age_years","age_months","id"
41,1784,"Smooth","Younger",5,440.350521412319,-0.0588191891573699,"RBF","UCB",NA,0.435731797545523,0.407174315000329,0.0821453617511674,122.608653124703,5,69,349
45,1797,"Smooth","Younger",2,402.142763104773,0.0330510498989304,"RBF","UCB",NA,0.131225279319067,22.9832238670571,7.55639729981925,101.728335005409,5,65,353
45,1799,"Smooth","Younger",4,402.142763104773,0.0330510498989304,"RBF","UCB",NA,1.22290835903236,0.00673794870084375,0.106994376278774,105.531508153781,5,65,353
45,1798,"Smooth","Younger",3,402.142763104773,0.0330510498989304,"RBF","UCB",NA,1.17694707968365,0.00673804618951793,0.125009162261745,104.773142842336,5,65,353
45,1800,"Smooth","Younger",5,402.142763104773,0.0330510498989304,"RBF","UCB",NA,1.09004788328949,0.0068284350931497,0.131415527524729,90.1097771032474,5,65,353
61,1845,"Smooth","Younger",2,364.261815471044,0.124135475391189,"RBF","UCB",NA,0.411710277416629,0.520500924783323,0.00673794836716396,132.190372031937,5,61,365
61,1846,"Smooth","Younger",3,364.261815471044,0.124135475391189,"RBF","UCB",NA,0.37191140573688,0.51991828191363,0.00673796737350334,64.6230749867445,5,61,365
61,1847,"Smooth","Younger",4,364.261815471044,0.124135475391189,"RBF","UCB",NA,0.380219206460002,0.532070231852099,0.00673795899027455,80.0687073323573,5,61,365
61,1848,"Smooth","Younger",5,364.261815471044,0.124135475391189,"RBF","UCB",NA,0.384036182978962,0.532074972190848,0.00673795525660272,87.3796611200055,5,61,365
65,1861,"Smooth","Younger",2,440.333541359685,-0.0587783607611541,"RBF","UCB",NA,1.46169282455926,0.00673794703041847,0.195679809768345,112.572370215315,5,67,369
65,1862,"Smooth","Younger",3,440.333541359685,-0.0587783607611541,"RBF","UCB",NA,0.304244109543681,1.90577182471902,0.956477785174781,99.1779355354175,5,67,369
65,1863,"Smooth","Younger",4,440.333541359685,-0.0587783607611541,"RBF","UCB",NA,0.0891817671789476,0.972124302809931,0.4617363657788,99.6717846116702,5,67,369
65,1864,"Smooth","Younger",5,440.333541359685,-0.0587783607611541,"RBF","UCB",NA,0.353453199425665,0.536079256362278,0.00673794735236412,128.911450997282,5,67,369
71,1882,"Smooth","Younger",3,235.145212810593,0.43459527931563,"RBF","UCB",NA,0.43274438183986,0.518306134851645,0.00673794730551012,50.7866833388954,6,76,374
71,1881,"Smooth","Younger",2,235.145212810593,0.43459527931563,"RBF","UCB",NA,0.424927810628316,0.521483680241103,0.00673794770433651,34.2690027463062,6,76,374
71,1884,"Smooth","Younger",5,235.145212810593,0.43459527931563,"RBF","UCB",NA,0.443882288036813,0.515273336508703,0.00673794780524543,93.603772456708,6,76,374
71,1883,"Smooth","Younger",4,235.145212810593,0.43459527931563,"RBF","UCB",NA,0.435978070456424,0.517541947081039,0.00673794702415966,56.485754268683,6,76,374
73,1889,"Smooth","Younger",2,268.443195824706,0.354530554372187,"RBF","UCB",NA,0.406246682397222,0.551178104482466,0.00673794786810604,69.8338298808573,6,81,376
73,1890,"Smooth","Younger",3,268.443195824706,0.354530554372187,"RBF","UCB",NA,0.408447271232844,0.551641612513649,0.00673844617767388,76.4947019176508,6,81,376
73,1891,"Smooth","Younger",4,268.443195824706,0.354530554372187,"RBF","UCB",NA,0.404832909759813,0.550425286303853,0.00674088329753558,73.1528209821343,6,81,376
73,1892,"Smooth","Younger",5,268.443195824706,0.354530554372187,"RBF","UCB",NA,0.403004018003861,0.5334950640694,0.00684891051817632,48.9618430440632,6,81,376
83,1913,"Smooth","Younger",2,418.548976267772,-0.00639755405111186,"RBF","UCB",NA,0.0280807121277389,0.290459848516067,0.154491943138195,104.53430790581,6,76,382
83,1914,"Smooth","Younger",3,418.548976267772,-0.00639755405111186,"RBF","UCB",NA,0.00715193444148242,54.5980910933986,32.410986634511,107.713431765605,6,76,382
83,1915,"Smooth","Younger",4,418.548976267772,-0.00639755405111186,"RBF","UCB",NA,0.445062582194811,0.300256126655522,0.213485505476129,104.40213443948,6,76,382
83,1916,"Smooth","Younger",5,418.548976267772,-0.00639755405111186,"RBF","UCB",NA,0.00832724064712076,0.298229473287146,0.215763759271688,101.899102156877,6,76,382
89,1937,"Smooth","Younger",2,389.305613240129,0.0639178706470477,"RBF","UCB",NA,2.08078118237963,0.00681742878132041,0.167830935924948,106.003672670496,6,82,388
89,1938,"Smooth","Younger",3,389.305613240129,0.0639178706470477,"RBF","UCB",NA,34.4837452282069,0.304684053089972,0.185577848632819,91.8753983386727,6,82,388
