"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
72,338.540123247455,"BMT","UCB",0.592991535874132,3.56436045904539,NA,0.146514323979046,0.0202829288692153,NA,15,"Adolescent",180,"Smooth","[14,18)"
73,575.508580666794,"BMT","UCB",0.308097187235808,2.04018331376696,NA,0.0753236822031021,0.06866956914509,NA,16,"Adolescent",192,"Smooth","[14,18)"
74,834.326139522665,"BMT","UCB",-0.00306515331115209,8.01926656372833,NA,0.0610679848617367,0.0274407879174261,NA,15,"Adolescent",180,"Smooth","[14,18)"
75,517.817486666141,"BMT","UCB",0.377456066584309,6.9812871718079,NA,0.295521599242054,0.00673914163670201,NA,14,"Adolescent",168,"Smooth","[14,18)"
76,270.781938366079,"BMT","UCB",0.674453533630797,9.02592883123395,NA,0.0778271185241026,0.00673796026149566,NA,15,"Adolescent",180,"Smooth","[14,18)"
77,800.236114213245,"BMT","UCB",0.0379194387369143,8.04794112254621,NA,0.740396130858824,0.0239832295028286,NA,16,"Adolescent",192,"Smooth","[14,18)"
78,502.966436761923,"BMT","UCB",0.395310679958318,3.82335121270575,NA,0.254946124124283,0.0145216269407879,NA,17,"Adolescent",204,"Smooth","[14,18)"
79,415.56008557767,"BMT","UCB",0.500394604454752,6.47888374316013,NA,0.27607690837361,0.00673833364047025,NA,16,"Adolescent",192,"Smooth","[14,18)"
80,794.688623175963,"BMT","UCB",0.0445888869109667,5.94050279655013,NA,0.295255111902593,0.0146003970618523,NA,15,"Adolescent",180,"Smooth","[14,18)"
81,803.777742787773,"BMT","UCB",0.0336615304192962,4.22084024111302,NA,0.488225285470172,0.0232179703920572,NA,16,"Adolescent",192,"Smooth","[14,18)"
82,174.231428584232,"BMT","UCB",0.790530985012107,6.20775954698633,NA,0.014385775411709,0.00673795722314004,NA,16,"Adolescent",192,"Smooth","[14,18)"
83,850.435106830164,"BMT","UCB",-0.0224320926847945,0.101505159084756,NA,26.7303753232172,34.1121421002545,NA,15,"Adolescent",180,"Smooth","[14,18)"
84,704.591826263665,"BMT","UCB",0.152907388665427,10.6123907138388,NA,0.193908128565106,0.00687780952382613,NA,14,"Adolescent",168,"Smooth","[14,18)"
85,471.85054866167,"BMT","UCB",0.432719627837561,3.72239027127382,NA,0.0475492652243246,0.0459378726929428,NA,17,"Adolescent",204,"Smooth","[14,18)"
